City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,avarua,-21.2078,-159.775,27.03,65,68,3.09,CK,1681441730
237,otavi,-19.65,17.3333,20.87,40,44,2.22,NA,1681442059
238,sao joao da barra,-21.6403,-41.0511,24.51,91,16,3.31,BR,1681441823
239,saldanha,-33.0117,17.9442,15.29,84,0,5.86,ZA,1681442060
240,kenai,60.5544,-151.2583,1.05,84,100,5.14,US,1681442060
241,bera,24.0833,89.6167,32.71,30,96,2.26,BD,1681442061
242,lamar,33.6668,-95.5836,17.98,73,0,3.6,US,1681442061
243,codrington,-38.2667,141.9667,22.87,47,23,5.3,AU,1681442056
244,correntina,-13.3433,-44.6367,23.71,66,80,0.21,BR,1681442062
245,kavaratti,10.5669,72.642,28.38,72,89,1.48,IN,1681441843
246,balabac,7.9868,117.0645,29.51,62,100,1.68,PH,1681442063
247,calderitas,18.55,-88.25,25.98,73,100,5.2,MX,1681442064
248,hazaribag,23.9833,85.35,33.56,15,81,2.65,IN,1681442064
249,kitimat,54.0524,-128.6534,6.21,51,96,1.52,CA,1681442065
250,sangmelima,2.9333,11.9833,19.49,99,93,0.89,CM,1681442065
251,sao gabriel da cachoeira,-0.1303,-67.0892,23.12,96,96,0.34,BR,1681442065
252,davenda,53.5556,119.317,2.22,64,97,0.88,RU,1681442065
253,mindelo,16.8901,-24.9804,21.75,78,28,3.6,CV,1681442066
254,hofn,64.2539,-15.2082,4.96,74,99,5.07,IS,1681442066
255,ushtobe,45.2514,77.9838,16.84,27,100,1.93,KZ,1681441820
256,deep river,46.1001,-77.4995,11.64,88,67,2.93,CA,1681441908
257,mogadishu,2.0371,45.3438,27.7,73,100,4.91,SO,1681441912
258,praia,14.9215,-23.5087,22.3,83,0,4.63,CV,1681441883
259,qaanaaq,77.484,-69.3632,-15.38,75,3,2.68,GL,1681441737
260,pualas,8.0172,123.8481,34.53,45,65,1.75,PH,1681442068
261,altamont,42.2068,-121.7372,6.91,24,100,5.66,US,1681442068
262,caldwell,43.6629,-116.6874,8.64,37,0,2.06,US,1681441560
263,duartina,-22.4144,-49.4039,21.14,92,93,0.95,BR,1681442069
264,seymchan,62.8833,152.4333,-9.1,73,64,1.22,RU,1681442071
265,amapa,1.0,-52.0,22.78,99,100,0.57,BR,1681442071
266,mormugao,15.4,73.8,28.57,78,81,4.2,IN,1681442072
267,fort nelson,58.8053,-122.7002,1.03,92,96,1.22,CA,1681441925
268,whitehorse,60.7161,-135.0538,2.95,51,100,5.36,CA,1681442072
269,chapais,49.7834,-74.8492,0.95,93,100,3.81,CA,1681442073
270,tromso,69.6496,18.957,2.01,64,0,1.54,NO,1681442073
271,charagua,-19.8,-63.2167,16.3,98,100,3.04,BO,1681442073
272,manicore,-5.8092,-61.3003,23.59,97,46,0.7,BR,1681442074
273,victoria,22.2855,114.1577,27.03,82,100,4.47,HK,1681441722
274,bilibino,68.0546,166.4372,-13.4,77,75,0.64,RU,1681441932
275,honiara,-9.4333,159.95,29.3,76,84,2.93,SB,1681442074
276,lokosovo,61.1333,74.8167,-17.08,84,18,4.47,RU,1681442074
277,verkhoyansk,67.5447,133.385,-4.19,80,100,1.63,RU,1681442075
278,amarillo,35.222,-101.8313,20.88,34,0,6.69,US,1681441878
279,buraydah,26.326,43.975,17.08,37,0,3.05,SA,1681441874
